model_name,accuracy,precision,recall,f1_score,avg_inference_time,max_inference_time,min_inference_time,batch_size,learning_rate,dropout_rate,epochs
EfficientNetB0 Classification Model,0.445,0.449999999955,0.4455445544113322,0.44776118898542117,0.36756932735443115,0.45070672035217285,0.31966519355773926,64,0.01,0.1,15
MobileNetV2 Recognition Model,0.485,0.49166666662569447,0.5841584157837467,0.5339366465723472,0.13765013217926025,0.2116549015045166,0.09049105644226074,64,0.01,0.1,15
MobileNetV2 Classification Model,0.55,0.5321100916943019,0.5979381442682539,0.5631067910788012,0.2800704836845398,0.3559706211090088,0.2073361873626709,64,0.01,0.1,15
ResNet50 Classification Model,0.53,0.4999999999444445,0.47872340420439113,0.4891304297318053,0.37101686000823975,0.696854829788208,0.24399089813232422,64,0.01,0.1,15
EfficientNetB0 Classification Model,0.51,0.5445544553916283,0.514018691540746,0.5288461487994639,0.3708840012550354,0.45780396461486816,0.320587158203125,64,0.01,0.1,15
MobileNetV2 Recognition Model,0.52,0.5517241378834721,0.5925925925377229,0.5714285663839287,0.13192367553710938,0.23151445388793945,0.08503055572509766,64,0.01,0.1,15
MobileNetV2 Classification Model,0.47,0.4666666666222222,0.4949494948995001,0.4803921518199732,0.30168306827545166,0.3764922618865967,0.22710418701171875,64,0.01,0.1,15
ResNet50 Classification Model,0.5,0.4255319148483477,0.4651162790156842,0.44444443940493833,0.37197011709213257,0.6607329845428467,0.24753403663635254,64,0.01,0.1,15
EfficientNetB0 Classification Model,0.515,0.49557522119508185,0.5833333332725695,0.5358851624459149,0.37566065788269043,0.4654977321624756,0.2992868423461914,64,0.01,0.1,15
MobileNetV2 Recognition Model,0.49,0.45999999995400004,0.48936170207559987,0.4742267990796047,0.15069907903671265,0.19274163246154785,0.11321115493774414,64,0.01,0.1,15
MobileNetV2 Classification Model,0.465,0.47115384610854294,0.48514851480345067,0.4780487754422368,0.28709089756011963,0.35614728927612305,0.22447657585144043,64,0.001,0.5,15
ResNet50 Classification Model,0.475,0.4897959183173678,0.4660194174304836,0.4776119352540779,0.382413387298584,0.657146692276001,0.24894309043884277,64,0.001,0.5,15
EfficientNetB0 Classification Model,0.465,0.4897959183173678,0.45714285709931973,0.4729063989002402,0.3840838670730591,0.47348570823669434,0.3290717601776123,64,0.001,0.5,15
MobileNetV2 Recognition Model,0.525,0.5054945054389567,0.4791666666167535,0.49197860457662507,0.1474502682685852,0.2290499210357666,0.08716249465942383,64,0.001,0.5,15
MobileNetV2 Classification Model,0.51,0.5445544553916283,0.514018691540746,0.5288461487994639,0.25325959069388254,0.3393547534942627,0.20257353782653809,32,0.0001,0.3,15
ResNet50 Classification Model,0.5,0.5306122448438151,0.49056603768956925,0.509803916526336,0.32509732246398926,0.6969821453094482,0.23952746391296387,32,0.0001,0.3,15
EfficientNetB0 Classification Model,0.53,0.553191489302852,0.4999999999519231,0.5252525202122234,0.34209156036376953,0.46930456161499023,0.23283863067626953,32,0.0001,0.3,15
MobileNetV2 Recognition Model,0.505,0.49999999995283023,0.5353535352994593,0.517073165687091,0.16298001153128489,0.23122143745422363,0.14160895347595215,32,0.0001,0.3,15
MobileNetV2 Classification Model,0.52,0.5263157894182826,0.49504950490148025,0.5102040765852771,0.2369708674294608,0.3436160087585449,0.13787412643432617,32,0.001,0.3,15
ResNet50 Classification Model,0.54,0.5398230088017856,0.6039603959798059,0.5700934529063675,0.332209723336356,0.7247045040130615,0.23957324028015137,32,0.001,0.3,15
EfficientNetB0 Classification Model,0.51,0.5544554454896579,0.5137614678427742,0.5333333282897961,0.3644329139164516,0.4578120708465576,0.3231527805328369,32,0.001,0.3,15
MobileNetV2 Recognition Model,0.51,0.4838709676899064,0.4736842104764543,0.47872339920495705,0.14667694909232004,0.24728775024414062,0.0891270637512207,32,0.001,0.3,15
MobileNetV2 Classification Model,0.51,0.5227272726678719,0.450980392112649,0.4842105212919668,0.24696152550833567,0.37388038635253906,0.15709447860717773,32,0.01,0.3,15
ResNet50 Classification Model,0.48,0.48453608242427465,0.46534653460739145,0.47474746970156106,0.3227414744240897,0.702772855758667,0.23997998237609863,32,0.01,0.3,15
EfficientNetB0 Classification Model,0.425,0.4141414140995817,0.418367346896085,0.4162436497802057,0.370405980518886,0.48404455184936523,0.3285953998565674,32,0.01,0.3,15
MobileNetV2 Recognition Model,0.535,0.5544554454896579,0.5384615384097633,0.5463414583624033,0.14670191492353166,0.22010111808776855,0.10791826248168945,32,0.01,0.3,15
MobileNetV2 Classification Model,0.51,0.5384615384097633,0.528301886742613,0.5333333282829933,0.25518843105861116,0.3482673168182373,0.19207119941711426,32,0.001,0.7,15
ResNet50 Classification Model,0.49,0.5445544553916283,0.4954954954508563,0.5188679194904772,0.32305707250322613,0.7142622470855713,0.2435598373413086,32,0.001,0.7,15
EfficientNetB0 Classification Model,0.445,0.422018348585136,0.48936170207559987,0.4532019654259992,0.3381221294403076,0.467318058013916,0.24570989608764648,32,0.001,0.7,15
MobileNetV2 Recognition Model,0.48,0.48623853206548273,0.5247524751955691,0.5047618997210885,0.15164031301225936,0.20360112190246582,0.10978460311889648,32,0.001,0.7,15
MobileNetV2 Classification Model,0.495,0.5106382978180173,0.4660194174304836,0.4873096396310135,0.19374445506504603,0.3532843589782715,0.12292814254760742,32,0.001,0.5,15
ResNet50 Classification Model,0.48,0.4574468084619738,0.44791666662000873,0.45263157390027703,0.33041490827287945,0.7013936042785645,0.24921679496765137,32,0.001,0.5,15
EfficientNetB0 Classification Model,0.46,0.44761904757641724,0.48453608242427465,0.4653465296152339,0.330223628452846,0.546978235244751,0.23712396621704102,32,0.001,0.5,15
MobileNetV2 Recognition Model,0.48,0.5288461537953033,0.49999999995454547,0.5140186865446765,0.16030737331935338,0.18985223770141602,0.11953854560852051,32,0.001,0.5,15
MobileNetV2 Classification Model,0.495,0.5624999999497768,0.5478260869088847,0.5550660742471231,0.24242907762527466,0.34088683128356934,0.1434333324432373,64,0.001,0.5,15
ResNet50 Classification Model,0.475,0.4591836734225323,0.4639175257253694,0.46153845649125586,0.3910020589828491,0.6915569305419922,0.2676372528076172,64,0.001,0.5,15
EfficientNetB0 Classification Model,0.43,0.40999999995900005,0.4270833332888455,0.4183673418981675,0.35717183351516724,0.4504084587097168,0.26506638526916504,64,0.001,0.5,15
MobileNetV2 Recognition Model,0.535,0.5840707964084894,0.5892857142330995,0.5866666616146174,0.1455342173576355,0.20287013053894043,0.1047811508178711,64,0.001,0.5,15
MobileNetV2 Classification Model,0.53,0.5688073393973572,0.5688073393973572,0.5688073343973572,0.22948336601257324,0.3324875831604004,0.14261364936828613,64,0.001,0.7,15
ResNet50 Classification Model,0.44,0.414893616977139,0.4062499999576823,0.4105263107468145,0.36165332794189453,0.6689541339874268,0.2422807216644287,64,0.001,0.7,15
EfficientNetB0 Classification Model,0.445,0.4464285713887118,0.5050505049994899,0.4739336442631567,0.3169326186180115,0.45333099365234375,0.23842310905456543,64,0.001,0.7,15
MobileNetV2 Recognition Model,0.435,0.4311926605108998,0.47959183668575595,0.4541062751634811,0.12712591886520386,0.14699268341064453,0.10707402229309082,64,0.001,0.7,15
MobileNetV2 Classification Model,0.5,0.4943820224163616,0.4444444443995511,0.46808510134732917,0.25268312862941195,0.35309696197509766,0.19364070892333984,32,0.01,0.5,15
ResNet50 Classification Model,0.49,0.47413793099360885,0.5729166666069879,0.518867919523852,0.3233092853001186,0.710573673248291,0.23862433433532715,32,0.01,0.5,15
EfficientNetB0 Classification Model,0.455,0.5092592592121057,0.4954954954508563,0.5022830999778989,0.3584768090929304,0.46965980529785156,0.2897632122039795,32,0.01,0.5,15
MobileNetV2 Recognition Model,0.455,0.42857142853061225,0.47872340420439113,0.45226130150248733,0.14986300468444824,0.2208247184753418,0.10476541519165039,32,0.01,0.5,15
